"steam_appid";"nome";"data_de_lancamento";"plataforma";"generos";"avaliacoes_positivas";"avaliacoes_negativas";"media_tempo_jogado";"preco"
32740;"MiG-29 Fulcrum";"2009-06-01";"windows";"Simulation";33;8;0;6.99
32750;"Comanche 4";"2009-06-18";"windows";"Action;Simulation";93;16;0;6.99
32760;"Tachyon: The Fringe";"2009-06-18";"windows";"Simulation";102;15;0;6.99
32770;"Joint Operations: Combined Arms Gold";"2009-09-29";"windows";"Action";121;17;0;14.99
32900;"Restaurant Empire II";"2009-05-27";"windows";"Casual;Indie;Simulation;Strategy";112;65;0;13.99
33100;"Alien Shooter";"2009-05-27";"windows";"Action;Indie;RPG";815;92;0;3.99
33110;"Alien Shooter: Revisited";"2009-05-27";"windows";"Action;Indie;RPG";150;79;0;3.99
33120;"Alien Shooter 2: Reloaded";"2009-05-27";"windows";"Action;Indie;RPG";995;84;169;3.99
33130;"Zombie Shooter";"2009-05-27";"windows";"Action;Indie;RPG";410;73;137;3.99
33180;"Zombie Shooter 2";"2009-11-18";"windows";"Action;Indie;RPG";291;85;247;7.19
33230;"Assassin's Creed 2 Deluxe Edition";"2010-03-04";"windows";"Action;Adventure";14861;2639;1046;8.59
33320;"Prince of Persia: The Forgotten Sands™";"2010-06-10";"windows";"Action;Adventure";511;263;328;8.59
33390;"Zeit²";"2011-01-12";"windows";"Action;Indie";26;7;0;8.59
33460;"From Dust";"2011-08-17";"windows";"Adventure;Simulation";1356;750;358;8.59
33520;"Tropico Reloaded";"2009-07-24";"windows";"Simulation;Strategy";412;60;0;5.99
33570;"Patrician III";"2010-11-18";"windows";"RPG;Simulation;Strategy";289;86;149;3.99
33600;"Broken Sword 2 - the Smoking Mirror: Remastered";"2009-12-02";"windows;mac;linux";"Adventure";432;51;1330;4.99
33610;"Broken Sword 3 - the Sleeping Dragon";"2009-12-02";"windows";"Adventure";181;167;9;4.99
33620;"Crash Time 3";"2009-11-25";"windows";"Action;Racing";228;64;0;3.99
33650;"Puzzler World";"2010-05-28";"windows";"Casual";299;37;0;4.99
33660;"Ziro";"2010-05-28";"windows";"Casual;Indie";21;7;0;4.99
33670;"Disciples III - Renaissance Steam Special Edition";"2010-07-13";"windows";"Strategy;RPG";166;134;2486;9.99
33680;"eversion";"2010-06-07";"windows;mac;linux";"Indie";955;92;466;3.99
33760;"The Search for Amelia Earhart";"2010-02-22";"windows";"Casual";1;4;0;4.99
33770;"Drakensang: The River of Time";"2011-02-16";"windows";"RPG";154;37;0;14.99
33790;"Elizabeth Find M.D. - Diagnosis Mystery - Season 2";"2011-06-09";"windows;mac";"Casual";16;13;0;14.99
33900;"Arma 2";"2009-06-29";"windows";"Action;Simulation;Strategy";1728;357;752;7.99
33930;"Arma 2: Operation Arrowhead";"2010-06-29";"windows";"Action;Simulation;Strategy";17683;1519;8488;11.99
33950;"Fish Fillets 2";"2010-11-05";"windows";"Casual;Indie";151;56;0;3.99
33980;"Pound of Ground";"2010-11-05";"windows";"Action";78;49;0;8.99
33990;"Alternativa";"2010-11-05";"windows";"Adventure";83;86;0;9.99
34010;"Alpha Protocol™";"2010-05-27";"windows";"Action;RPG";3113;785;267;9.99
34030;"Total War: NAPOLEON – Definitive Edition";"2010-02-25";"windows;mac";"Strategy";8540;907;1251;0.0
34190;"Sonic & SEGA All-Stars Racing";"2010-03-03";"windows";"Racing";614;173;759;4.99
34410;"Death to Spies: Moment of Truth";"2009-08-07";"windows";"Action";260;42;2;4.99
34420;"XIII Century – Gold Edition";"2009-08-28";"windows";"Strategy";55;57;0;3.99
34500;"Light of Altair";"2009-06-04";"windows";"Indie;Simulation;Strategy";31;7;0;11.99
34600;"Order of War™";"2009-09-17";"windows";"Strategy";270;98;319;5.99
34630;"Massive Assault";"2009-11-04";"windows";"Strategy";6;2;0;6.99
34640;"Massive Assault: Phantom Renaissance";"2009-11-04";"windows";"Strategy";11;2;0;6.99
34800;"Chronicles of Mystery: The Scorpio Ritual";"2009-06-18";"windows";"Adventure";46;23;0;3.99
34810;"Project Freedom";"2009-10-14";"windows";"Action;Simulation";80;26;0;2.99
34820;"Combat Wings: Battle of Britain";"2009-10-14";"windows";"Simulation";373;101;25;4.99
34830;"Sniper: Ghost Warrior";"2010-06-24";"windows";"Action";2143;1728;113;5.99
34870;"Sniper: Ghost Warrior 2";"2013-03-11";"windows";"Action";6775;2724;234;6.99
34900;"Bad Rats: the Rats' Revenge";"2009-07-20";"windows";"Indie";10465;2981;257;0.79
34920;"Razor2: Hidden Skies";"2010-07-19";"windows";"Action;Casual;Indie";49;154;28;6.99
35000;"Mini Ninjas";"2009-09-14";"windows";"Action;Adventure";1612;270;27;7.99
35070;"Flora's Fruit Farm";"2009-10-01";"windows";"Casual";58;28;0;2.99
35130;"Lara Croft and the Guardian of Light";"2010-09-28";"windows";"Action;Adventure";2506;237;42;7.99
35140;"Batman: Arkham Asylum Game of the Year Edition";"2010-03-26";"windows;mac";"Action;Adventure";20297;865;569;14.99
35300;"Warfare";"2009-07-20";"windows";"Strategy";73;26;0;9.99
35310;"Clutch";"2009-07-20";"windows";"Action;Racing";90;44;0;6.99
35320;"Insane 2";"2012-01-24";"windows";"Racing";329;67;0;10.99
35450;"Red Orchestra 2: Heroes of Stalingrad with Rising Storm";"2011-09-13";"windows";"Action;Massively Multiplayer;Simulation";26922;2274;771;14.99
35460;"The Ball";"2010-10-26";"windows";"Action;Adventure;Indie";606;210;14;6.99
35480;"Dwarfs!?";"2011-05-04";"windows;mac;linux";"Strategy;Indie;Casual";619;177;53;7.99
35600;"Big Brain Wolf";"2009-11-05";"windows";"Adventure;Casual;Strategy";44;37;0;3.99
35700;"Trine Enchanted Edition";"2009-07-02";"windows;mac;linux";"Action;Adventure;Indie";9448;407;314;9.99
35720;"Trine 2: Complete Story";"2013-06-06";"windows;mac;linux";"Action;Adventure;Indie";16369;706;421;13.99
35800;"BRAINPIPE: A Plunge to Unhumanity";"2009-07-06";"windows;mac";"Casual;Indie";126;22;0;0.0
36000;"Foreign Legion: Buckets of Blood";"2009-08-04";"windows;mac";"Action;Indie";184;111;160;3.99
36100;"Tradewinds Classics";"2009-07-17";"windows";"Casual";43;2;0;3.99
36130;"Tradewinds Caravans + Odyssey Pack";"2009-07-17";"windows";"Casual";4;1;0;10.99
36180;"Cake Mania Collection";"2009-07-17";"windows";"Casual";28;11;0;10.99
36210;"Monster Mash";"2009-07-17";"windows";"Casual";11;3;0;3.49
36240;"Kuros";"2009-09-21";"windows";"Casual";7;0;0;4.99
36300;"Cake Mania Main Street™";"2010-02-16";"windows";"Casual";13;5;0;4.99
36310;"Westward® IV: All Aboard";"2010-02-16";"windows";"Strategy;Casual";11;1;0;4.99
36320;"Iron Roses";"2010-02-16";"windows";"Adventure;Casual";4;3;0;4.99
36900;"Angle of Attack";"2009-08-17";"windows";"Action;Simulation";0;2;0;6.99
36910;"All Aspect Warfare";"2009-08-17";"windows";"Action;Simulation";3;8;0;6.99
37000;"The Void";"2009-12-15";"windows";"Nudity;Action;Adventure";581;126;27;6.99
37010;"Ninja Blade";"2009-11-19";"windows";"Action";128;72;0;6.99
37030;"UFO: Extraterrestrials Gold";"2010-02-17";"windows";"Strategy";122;43;0;9.99
37100;"Aztaka";"2009-11-05";"windows;mac";"Action;RPG;Indie";94;39;0;3.99
37210;"Chocolatier®: Decadence by Design™";"2009-08-12";"windows;mac";"Simulation";51;23;0;7.49
37220;"Cooking Dash®";"2009-08-12";"windows;mac";"Simulation";27;9;0;7.49
37230;"Diaper Dash®";"2009-08-12";"windows;mac";"Simulation";13;2;0;7.49
37240;"Diner Dash:® Hometown Hero™";"2009-08-12";"windows;mac";"Simulation";26;66;0;7.49
37260;"Emerald City Confidential™";"2009-08-12";"windows";"Adventure";50;3;38;7.49
37270;"Wandering Willows™";"2009-08-12";"windows;mac";"Adventure;RPG";20;0;0;10.99
37280;"Wedding Dash® 2: Rings Around the World";"2009-08-12";"windows;mac";"Simulation";13;3;0;7.49
37300;"DinerTown Tycoon";"2009-09-30";"windows;mac";"Simulation";8;5;0;6.99
37310;"DinerTown Detective Agency™";"2010-05-06";"windows;mac";"Casual";4;10;0;4.99
37320;"The Nightshift Code™";"2010-05-06";"windows;mac";"Casual";2;3;0;4.99
37330;"Nightshift Legacy: The Jaguar's Eye™";"2010-05-06";"windows;mac";"Casual";3;1;0;4.99
37340;"Fitness Dash™";"2010-05-06";"windows;mac";"Casual";8;0;0;4.99
37370;"TriJinx: A Kristine Kross Mystery™";"2010-05-06";"windows;mac";"Casual";3;1;0;4.99
37380;"Valerie Porter and the Scarlet Scandal™";"2010-05-06";"windows;mac";"Casual";5;6;0;4.99
37390;"Gemini Lost™";"2010-05-06";"windows;mac";"Casual";12;1;0;4.99
37400;"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack";"2009-08-25";"windows";"Adventure;Indie";494;118;10;2.99
37500;"Magnetis ";"2009-11-05";"windows";"Indie;Casual";33;9;49;1.49
37600;"Windosill";"2009-09-25";"windows;mac";"Adventure;Casual;Indie";821;85;31;1.99
37700;"Darkest of Days";"2010-03-01";"windows";"Action";158;63;0;14.99
37800;"Quantz";"2009-09-03";"windows;mac";"Indie;Casual";24;13;5;7.99
37960;"Jewel Quest Pack";"2009-08-24";"windows";"Casual";19;3;0;14.99
38000;"Mahjong Quest Collection";"2009-08-24";"windows";"Casual";20;2;0;6.99
38070;"Coconut Queen";"2009-12-17";"windows";"Casual;Simulation";11;1;0;6.99
38080;"Build-A-Lot";"2009-12-17";"windows";"Simulation";11;2;0;6.99
38090;"Build-A-Lot 2: Town of the Year";"2009-12-17";"windows";"Simulation";3;0;0;6.99
38100;"Build-A-Lot 3: Passport to Europe";"2009-12-17";"windows";"Simulation";2;0;0;6.99
38110;"Build-A-Lot 4: Power Source";"2009-12-17";"windows";"Simulation";4;3;0;6.99
38120;"Farm Frenzy";"2010-02-15";"windows";"Casual";19;2;0;3.99
38130;"Farm Frenzy 2";"2010-02-15";"windows";"Casual";17;2;0;3.99
38140;"Farm Frenzy: Pizza Party";"2010-02-15";"windows";"Casual";16;1;0;3.99
38150;"Farm Frenzy 3";"2010-02-15";"windows";"Casual";7;1;0;6.99
38160;"Farm Frenzy 3: American Pie";"2010-02-15";"windows";"Casual";2;0;0;6.99
38170;"Cradle of Rome";"2010-02-20";"windows";"Casual";16;2;0;6.99
38180;"Cradle of Persia";"2010-02-20";"windows";"Casual";6;0;0;6.99
38190;"Romance of Rome";"2010-02-20";"windows";"Casual";4;5;0;6.99
38210;"Roogoo";"2009-12-17";"windows";"Casual";273;66;4;0.79
38230;"Hotel Giant 2";"2010-01-27";"windows";"Simulation";66;95;0;5.59
38400;"Fallout: A Post Nuclear Role Playing Game";"2015-11-01";"windows";"RPG";6983;643;93;7.99
38410;"Fallout 2: A Post Nuclear Role Playing Game";"2009-08-19";"windows";"RPG";4758;321;86;7.99
38420;"Fallout Tactics: Brotherhood of Steel";"2009-08-19";"windows";"Strategy";847;210;16;7.99
38430;"Kingpin — Life of Crime";"2009-08-19";"windows";"Action";163;42;0;6.99
38450;"MDK";"2009-09-17";"windows";"Action";138;45;0;6.99
38460;"MDK 2";"2009-09-17";"windows";"Action";95;19;0;6.99
38490;"Earthworm Jim 2";"2009-11-04";"windows";"Action;Adventure";47;16;0;14.99
38600;"Faerie Solitaire";"2010-09-17";"windows;mac";"Casual;Indie";2147;207;266;6.99
38700;"Toki Tori";"2010-01-28";"windows;mac;linux";"Casual;Indie";1660;226;73;3.99
38720;"RUSH";"2010-12-03";"windows;mac;linux";"Casual;Indie;Strategy";1069;117;53;3.99
38740;"EDGE";"2011-08-11";"windows;mac;linux";"Action;Indie";1714;148;41;4.99
39000;"Moonbase Alpha";"2010-07-06";"windows";"Adventure;Simulation;Strategy";9867;1166;54;0.0
39110;"SEASON OF MYSTERY: The Cherry Blossom Murders";"2010-02-03";"windows";"Casual";156;44;0;2.99
39120;"RIFT";"2011-03-01";"windows";"Free to Play;Massively Multiplayer;RPG";6885;2326;4104;0.0
39140;"FINAL FANTASY VII";"2013-07-04";"windows";"RPG";11722;878;2443;9.99
39150;"FINAL FANTASY VIII";"2013-12-05";"windows";"RPG";5323;682;2145;9.99
39190;"Dungeon Siege";"2011-04-05";"windows";"RPG";1179;397;228;4.99
39200;"Dungeon Siege II";"2005-08-16";"windows";"RPG";813;343;754;4.99
39210;"FINAL FANTASY XIV Online";"2014-02-18";"windows";"Massively Multiplayer;RPG";9808;2107;28897;9.99
39500;"Gothic® 3";"2009-12-02";"windows";"Action;RPG";2962;728;1401;8.99
39510;"Gothic II: Gold Edition";"2010-01-13";"windows";"Action;RPG";3809;475;102;8.99
39520;"The Guild Gold Edition";"2014-09-09";"windows";"Simulation;Strategy";175;75;28;8.99
39540;"SpellForce - Platinum Edition";"2009-11-03";"windows";"Action;RPG";694;149;2886;8.99
39560;"Painkiller: Resurrection";"2009-10-27";"windows";"Action";90;181;0;8.99
39630;"AquaNox";"2010-04-20";"windows";"Action";151;57;0;4.49
39640;"AquaNox 2: Revelation";"2010-04-20";"windows";"Action";106;35;0;4.49
39650;"The Guild II";"2010-06-24";"windows";"Simulation;Strategy";385;196;1014;8.99
39660;"The Guild II - Pirates of the European Seas";"2010-06-24";"windows";"Simulation;Strategy";109;49;0;8.99
39670;"Chaser";"2010-07-16";"windows";"Action";611;226;0;4.49
39680;"The Guild II Renaissance";"2010-07-28";"windows";"Simulation;Strategy";1944;482;1556;8.99
39690;"ArcaniA";"2010-10-11";"windows";"RPG";735;763;398;17.99
39800;"Nation Red";"2009-09-03";"windows;mac;linux";"Action;Indie";2093;272;154;1.79
39900;"Coniclysm";"2010-03-26";"windows";"Action";14;15;0;3.99
40100;"Supreme Commander 2";"2010-03-01";"windows";"Strategy";5336;903;1834;8.99
40200;"ItzaBitza";"2009-10-01";"windows";"Casual";6;2;0;6.99
40210;"ItzaZoo";"2009-12-09";"windows";"Casual";10;0;0;6.99
40300;"Risen";"2009-10-02";"windows";"RPG";3848;585;994;7.99
40320;"Rush for Berlin Gold";"2009-10-29";"windows";"Strategy";88;13;0;3.99
40330;"Secret Files: Tunguska";"2009-10-29";"windows";"Adventure";135;32;0;7.99
40340;"Secret Files 2: Puritas Cordis";"2009-10-29";"windows";"Adventure";60;17;0;7.99
40350;"Lost Horizon";"2010-09-24";"windows";"Adventure";211;26;34;7.99
40380;"nail'd";"2010-11-30";"windows";"Racing";859;217;135;3.99
40390;"Risen 2: Dark Waters";"2012-04-26";"windows";"RPG";2987;891;1278;7.99
40400;"AI War: Fleet Command";"2009-10-21";"windows;mac;linux";"Indie;Strategy";1109;205;248;6.99
40420;"Tidalis";"2010-07-16";"windows;mac;linux";"Casual;Indie";130;66;0;3.99
40500;"Sacraboar";"2009-11-06";"windows";"Action;Strategy;Indie";14;42;0;2.09
40700;"Machinarium";"2009-10-16";"windows;mac";"Adventure;Indie";5437;264;165;7.99
40720;"Samorost 2";"2009-12-10";"windows";"Adventure;Casual;Indie";716;149;53;3.99
40930;"The Misadventures of P.B. Winterbottom";"2010-04-20";"windows";"Adventure;Indie";323;42;19;3.99
40950;"Stronghold HD";"2013-10-21";"windows";"Simulation;Strategy";2992;199;473;3.49
40970;"Stronghold Crusader HD";"2013-10-21";"windows";"Simulation;Strategy";4079;170;247;7.49
40980;"Stronghold Legends: Steam Edition";"2016-09-15";"windows";"Simulation;Strategy";404;123;337;11.99
40990;"Mafia";"2002-08-28";"windows";"Violent;Action;Adventure";1727;180;32;7.99
41000;"Serious Sam HD: The First Encounter";"2009-11-24";"windows";"Action;Indie";3950;269;277;10.99
41070;"Serious Sam 3: BFE";"2011-11-22";"windows;mac;linux";"Action;Indie";15574;1977;378;29.99
41100;"Hammerfight";"2009-10-28";"windows;mac;linux";"Action;Indie";1051;514;256;3.99
41300;"Altitude";"2009-12-04";"windows;mac;linux";"Action;Free to Play;Indie";1540;128;333;0.0
41400;"Doom Rails";"2009-11-04";"windows";"Action;Indie";8;20;0;1.99
41500;"Torchlight";"2009-10-27";"windows;mac";"RPG";3825;317;1108;10.99
41600;"Earthworm Jim 3D";"2009-11-04";"windows";"Action;Adventure";34;36;0;14.99
41660;"Tommy Tronic";"2010-10-28";"windows";"Action;Adventure;Indie";7;7;0;6.99
41680;"Death and the Fly";"2011-05-23";"windows";"Indie";3;9;0;6.99
41700;"S.T.A.L.K.E.R.: Call of Pripyat";"2010-02-11";"windows";"Action;RPG";10172;470;1969;12.99
41740;"Cargo! The Quest for Gravity";"2011-04-21";"windows";"Action;Adventure;Simulation";260;72;540;6.99
41800;"Gratuitous Space Battles";"2009-11-16";"windows;mac;linux";"Indie;Simulation;Strategy";505;168;272;10.99
41900;"The Bard's Tale";"2009-12-11";"windows;mac;linux";"Action;Adventure;RPG";644;188;43;6.99
42000;"Trino";"2011-01-27";"windows";"Casual;Indie";9;5;0;3.49
42120;"Lead and Gold: Gangs of the Wild West";"2010-04-08";"windows";"Action";1471;545;112;7.99
42140;"Hamilton's Great Adventure";"2011-05-31";"windows";"Adventure;Casual;Indie";169;83;184;6.99
42170;"Krater";"2012-06-12";"windows;mac";"Action;Adventure;Indie;RPG;Strategy";429;329;369;10.99
42210;"Nancy Drew®: Secrets Can Kill REMASTERED";"2011-07-25";"windows;mac";"Adventure";48;23;0;5.19
42220;"Nancy Drew®: The Captive Curse";"2011-07-25";"windows;mac";"Adventure";48;8;0;5.19
42230;"Nancy Drew®: Trail of the Twister";"2011-07-25";"windows;mac";"Adventure";22;8;0;4.99
42500;"DogFighter";"2010-06-14";"windows";"Action;Indie";232;152;63;1.99
42670;"Singularity™";"2010-06-30";"windows";"Action";2766;227;148;14.99
42700;"Call of Duty®: Black Ops";"2010-11-08";"windows";"Action";14201;1839;2672;29.99
42810;"For The Glory: A Europa Universalis Game";"2009-11-11";"windows";"Strategy";59;25;44;7.99
42850;"Arsenal of Democracy: A Hearts of Iron Game";"2010-02-23";"windows";"Strategy";180;31;0;7.99
42890;"Sword of the Stars: Complete Collection";"2010-06-04";"windows";"Strategy";355;46;0;7.99
42910;"Magicka";"2011-01-25";"windows";"Action;RPG";20912;1964;589;7.99
42920;"The Kings' Crusade";"2010-10-08";"windows";"Strategy";41;72;0;7.99
42930;"Elven Legacy: Magic";"2009-12-03";"windows";"Strategy";8;3;0;1.59
42940;"Elven Legacy: Siege";"2009-11-17";"windows";"Strategy";4;3;0;1.59
42950;"Elven Legacy: Ranger";"2009-10-20";"windows";"Strategy";9;2;0;1.59
42960;"Victoria II";"2010-08-30";"windows";"Strategy";4743;632;2580;14.99
42980;"Victoria I Complete";"2010-08-20";"windows";"Strategy";88;41;17;7.99
42990;"Sword of the Stars II: Enhanced Edition";"2012-11-30";"windows";"Strategy";335;448;38;14.99
43000;"Front Mission Evolved";"2010-10-07";"windows";"Action";481;310;312;7.99
43100;"World of Zoo";"2009-10-30";"windows";"Simulation";115;30;115;4.99
43190;"The Haunted: Hells Reach";"2011-10-24";"windows";"Action;Indie";507;81;285;5.99
43500;"M.U.D. TV";"2010-04-19";"windows";"Simulation;Strategy";70;85;0;7.99
43600;"Nancy Drew®: Warnings at Waverly Academy";"2010-01-13";"windows";"Adventure";46;5;0;5.19
44100;"Super Laser  Racer";"2010-02-18";"windows";"Action;Indie;Racing";73;11;0;2.99
44350;"GRID 2";"2013-05-27";"windows";"Racing;Sports";11953;3009;340;19.98
44360;"F1 2011";"2011-09-19";"windows";"Racing;Simulation;Sports";232;108;3;9.99
44600;"GTR - FIA GT Racing Game";"2012-09-25";"windows";"Racing;Sports";43;28;0;3.99
44680;"RACE Injection";"2011-11-18";"windows";"Racing";11;1;1;8.99
44690;"GT Legends";"2012-11-28";"windows";"Racing;Simulation;Sports";201;24;0;4.99
45000;"Sol Survivor";"2010-03-15";"windows";"Indie;Strategy";293;30;0;7.19
45100;"Secret of the Magic Crystals";"2010-02-03";"windows;mac;linux";"Casual;Indie";1342;265;176;3.99
45300;"Wings of Prey";"2010-01-08";"windows";"Simulation";314;148;1154;6.99
45400;"Fortix";"2010-04-14";"windows;mac";"Indie";802;69;287;0.99
45410;"Ignite";"2011-10-28";"windows";"Racing";154;115;0;6.99
45420;"Land It!";"2016-08-01";"windows;mac";"Casual;Indie;Simulation";10;1;0;6.99
45450;"Fortix 2";"2011-05-06";"windows;mac;linux";"Casual;Indie";462;45;487;1.59
45700;"Devil May Cry 4";"2009-12-22";"windows";"Action;Adventure";1620;144;789;15.99
45710;"Dark Void™";"2010-01-22";"windows";"Action;Adventure";218;230;143;6.49
45720;"Lost Planet: Extreme Condition Colonies Edition";"2010-02-11";"windows";"Action;Adventure";134;95;65;12.99
45730;"Dark Void™ Zero";"2010-04-12";"windows";"Action;Adventure";130;139;0;2.99
45740;"Dead Rising® 2";"2010-09-27";"windows";"Action;Adventure";2713;934;1108;14.99
45750;"Lost Planet® 2";"2010-10-15";"windows";"Action;Adventure";998;504;879;12.99
